user_id,product_id,user_rating
USER_008,PROD_0107,3.0
USER_016,PROD_0158,2.0
USER_007,PROD_0240,1.0
USER_038,PROD_0209,1.0
USER_002,PROD_0124,2.0
USER_015,PROD_0230,5.0
USER_002,PROD_0244,2.0
USER_035,PROD_0208,2.0
USER_029,PROD_0172,1.0
USER_011,PROD_0209,3.0
USER_018,PROD_0140,2.0
USER_022,PROD_0127,1.0
USER_025,PROD_0125,3.0
USER_023,PROD_0168,1.0
USER_030,PROD_0238,1.0
USER_025,PROD_0121,5.0
USER_019,PROD_0193,5.0
USER_013,PROD_0118,1.0
USER_015,PROD_0175,1.0
USER_015,PROD_0126,4.0
USER_018,PROD_0217,3.0
USER_011,PROD_0195,3.0
USER_014,PROD_0169,1.0
USER_039,PROD_0144,5.0
USER_016,PROD_0142,4.0
USER_025,PROD_0170,5.0
USER_015,PROD_0184,1.0
USER_015,PROD_0109,3.0
USER_026,PROD_0169,1.0
USER_014,PROD_0246,3.0
USER_014,PROD_0228,4.0
USER_030,PROD_0137,3.0
USER_009,PROD_0164,5.0
USER_035,PROD_0168,5.0
USER_028,PROD_0250,4.0
USER_024,PROD_0157,2.0
USER_033,PROD_0227,1.0
USER_004,PROD_0129,2.0
USER_011,PROD_0209,5.0
USER_005,PROD_0199,4.0
USER_039,PROD_0220,5.0
USER_017,PROD_0242,1.0
USER_008,PROD_0238,3.0
USER_022,PROD_0129,3.0
USER_028,PROD_0141,4.0
USER_001,PROD_0168,5.0
USER_012,PROD_0230,1.0
USER_020,PROD_0230,5.0
USER_013,PROD_0140,3.0
USER_011,PROD_0239,5.0
USER_001,PROD_0183,4.0
USER_002,PROD_0129,3.0
USER_020,PROD_0162,1.0
USER_016,PROD_0246,1.0
USER_006,PROD_0225,1.0
USER_035,PROD_0133,2.0
USER_031,PROD_0241,2.0
USER_017,PROD_0236,5.0
USER_028,PROD_0155,5.0
USER_013,PROD_0180,4.0
USER_024,PROD_0213,5.0
USER_029,PROD_0131,2.0
USER_015,PROD_0117,3.0
USER_002,PROD_0242,2.0
USER_038,PROD_0157,1.0
USER_005,PROD_0116,2.0
USER_005,PROD_0109,3.0
USER_005,PROD_0232,2.0
USER_018,PROD_0225,2.0
USER_035,PROD_0134,5.0
USER_037,PROD_0222,2.0
USER_031,PROD_0205,2.0
USER_007,PROD_0125,4.0
USER_023,PROD_0209,4.0
USER_030,PROD_0114,1.0
USER_004,PROD_0204,3.0
USER_007,PROD_0164,2.0
USER_013,PROD_0238,4.0
USER_009,PROD_0209,2.0
USER_018,PROD_0219,2.0
USER_005,PROD_0214,5.0
USER_007,PROD_0113,5.0
USER_001,PROD_0124,2.0
USER_011,PROD_0205,4.0
USER_031,PROD_0155,4.0
USER_004,PROD_0143,4.0
USER_001,PROD_0200,3.0
USER_030,PROD_0174,4.0
USER_036,PROD_0225,2.0
USER_013,PROD_0176,2.0
USER_004,PROD_0249,5.0
USER_004,PROD_0181,1.0
USER_004,PROD_0250,4.0
USER_033,PROD_0236,2.0
USER_004,PROD_0231,1.0
USER_012,PROD_0118,5.0
USER_005,PROD_0161,4.0
USER_008,PROD_0246,2.0
USER_038,PROD_0111,5.0
USER_006,PROD_0208,5.0
USER_037,PROD_0234,3.0
USER_017,PROD_0153,3.0
USER_016,PROD_0168,4.0
USER_009,PROD_0177,4.0
USER_021,PROD_0119,1.0
USER_030,PROD_0245,1.0
USER_005,PROD_0238,2.0
USER_033,PROD_0168,2.0
USER_023,PROD_0118,2.0
USER_024,PROD_0173,2.0
USER_029,PROD_0240,3.0
USER_040,PROD_0236,1.0
USER_036,PROD_0177,1.0
USER_009,PROD_0168,1.0
USER_007,PROD_0242,2.0
USER_018,PROD_0173,5.0
USER_014,PROD_0188,2.0
USER_017,PROD_0230,4.0
USER_017,PROD_0114,1.0
USER_028,PROD_0171,1.0
USER_001,PROD_0186,2.0
USER_017,PROD_0142,4.0
USER_036,PROD_0210,5.0
USER_001,PROD_0129,1.0
USER_010,PROD_0240,1.0
USER_024,PROD_0250,5.0
USER_010,PROD_0211,2.0
USER_003,PROD_0179,3.0
USER_003,PROD_0192,2.0
USER_016,PROD_0127,3.0
USER_036,PROD_0205,5.0
USER_010,PROD_0161,2.0
USER_012,PROD_0206,1.0
USER_012,PROD_0186,4.0
USER_016,PROD_0169,2.0
USER_007,PROD_0198,1.0
USER_031,PROD_0157,2.0
USER_030,PROD_0190,3.0
USER_015,PROD_0158,1.0
USER_013,PROD_0203,3.0
USER_018,PROD_0118,3.0
USER_023,PROD_0231,4.0
USER_035,PROD_0185,1.0
USER_008,PROD_0167,2.0
USER_038,PROD_0168,1.0
USER_007,PROD_0212,3.0
USER_021,PROD_0212,5.0
USER_033,PROD_0130,4.0
USER_037,PROD_0149,3.0
USER_003,PROD_0212,1.0
USER_034,PROD_0238,2.0
USER_024,PROD_0211,1.0
USER_022,PROD_0181,1.0
USER_020,PROD_0230,3.0
USER_027,PROD_0184,4.0
USER_019,PROD_0242,2.0
USER_013,PROD_0208,4.0
USER_012,PROD_0246,3.0
USER_026,PROD_0241,1.0
USER_020,PROD_0174,2.0
USER_028,PROD_0249,5.0
USER_021,PROD_0220,4.0
USER_029,PROD_0155,5.0
USER_031,PROD_0144,1.0
USER_019,PROD_0232,5.0
USER_022,PROD_0124,2.0
USER_020,PROD_0158,2.0
USER_010,PROD_0107,1.0
USER_016,PROD_0222,5.0
USER_005,PROD_0217,4.0
USER_037,PROD_0150,4.0
USER_032,PROD_0203,2.0
USER_010,PROD_0102,1.0
USER_028,PROD_0157,2.0
USER_034,PROD_0219,1.0
USER_036,PROD_0164,1.0
USER_030,PROD_0135,4.0
USER_034,PROD_0244,5.0
USER_021,PROD_0214,5.0
USER_033,PROD_0210,5.0
USER_029,PROD_0141,4.0
USER_029,PROD_0167,2.0
USER_018,PROD_0234,4.0
USER_016,PROD_0171,4.0
USER_005,PROD_0174,2.0
USER_018,PROD_0186,3.0
USER_035,PROD_0121,2.0
USER_010,PROD_0160,4.0
USER_010,PROD_0155,1.0
USER_027,PROD_0205,3.0
USER_035,PROD_0220,4.0
USER_004,PROD_0153,4.0
USER_025,PROD_0250,1.0
USER_037,PROD_0198,4.0
USER_001,PROD_0191,3.0
USER_025,PROD_0208,5.0
USER_035,PROD_0157,4.0
USER_015,PROD_0170,4.0
USER_032,PROD_0108,4.0
USER_022,PROD_0204,2.0
USER_030,PROD_0133,5.0
USER_035,PROD_0107,4.0
USER_038,PROD_0245,1.0
USER_006,PROD_0210,2.0
USER_030,PROD_0147,1.0
USER_017,PROD_0198,3.0
USER_014,PROD_0217,3.0
USER_022,PROD_0198,3.0
USER_027,PROD_0165,1.0
USER_031,PROD_0105,5.0
USER_004,PROD_0190,2.0
USER_005,PROD_0111,1.0
USER_016,PROD_0152,1.0
USER_040,PROD_0140,2.0
USER_009,PROD_0222,1.0
USER_037,PROD_0156,4.0
USER_017,PROD_0195,2.0
USER_039,PROD_0130,2.0
USER_020,PROD_0128,5.0
USER_002,PROD_0180,5.0
USER_025,PROD_0202,2.0
USER_005,PROD_0163,1.0
USER_020,PROD_0131,5.0
USER_003,PROD_0189,5.0
USER_028,PROD_0195,1.0
USER_033,PROD_0188,1.0
USER_027,PROD_0226,1.0
USER_028,PROD_0193,4.0
USER_010,PROD_0212,2.0
USER_034,PROD_0170,5.0
USER_035,PROD_0224,4.0
USER_028,PROD_0169,3.0
USER_016,PROD_0123,3.0
USER_029,PROD_0163,4.0
USER_037,PROD_0198,3.0
USER_002,PROD_0227,3.0
USER_012,PROD_0225,2.0
USER_023,PROD_0167,3.0
USER_018,PROD_0171,5.0
USER_001,PROD_0233,2.0
USER_006,PROD_0162,4.0
USER_032,PROD_0243,2.0
USER_031,PROD_0226,4.0
USER_002,PROD_0124,3.0
USER_015,PROD_0204,2.0
USER_020,PROD_0249,3.0
USER_031,PROD_0242,5.0
USER_023,PROD_0209,5.0
USER_022,PROD_0191,4.0
USER_018,PROD_0179,3.0
USER_015,PROD_0131,2.0
USER_021,PROD_0131,5.0
USER_012,PROD_0150,2.0
USER_031,PROD_0171,5.0
USER_034,PROD_0173,1.0
USER_013,PROD_0176,2.0
USER_024,PROD_0146,3.0
USER_001,PROD_0237,2.0
USER_018,PROD_0112,1.0
USER_036,PROD_0175,2.0
USER_032,PROD_0127,1.0
USER_037,PROD_0173,4.0
USER_031,PROD_0213,3.0
USER_012,PROD_0114,3.0
USER_031,PROD_0130,1.0
USER_026,PROD_0226,1.0
USER_037,PROD_0114,2.0
USER_010,PROD_0245,3.0
USER_006,PROD_0164,1.0
USER_036,PROD_0207,5.0
USER_039,PROD_0158,5.0
USER_025,PROD_0216,4.0
USER_020,PROD_0210,3.0
USER_037,PROD_0116,5.0
USER_007,PROD_0154,2.0
USER_017,PROD_0121,2.0
USER_016,PROD_0145,5.0
USER_005,PROD_0141,1.0
USER_027,PROD_0216,5.0
USER_031,PROD_0175,1.0
USER_015,PROD_0174,3.0
USER_030,PROD_0119,2.0
USER_017,PROD_0151,4.0
USER_008,PROD_0240,2.0
USER_010,PROD_0169,2.0
USER_005,PROD_0116,2.0
USER_020,PROD_0246,3.0
USER_029,PROD_0132,4.0
USER_020,PROD_0204,3.0
USER_033,PROD_0239,4.0
USER_029,PROD_0121,5.0
USER_003,PROD_0211,3.0
USER_039,PROD_0165,1.0
USER_006,PROD_0159,5.0
USER_038,PROD_0106,3.0
USER_037,PROD_0111,2.0
USER_031,PROD_0233,4.0
USER_018,PROD_0147,5.0
USER_028,PROD_0226,1.0
USER_031,PROD_0190,4.0
USER_022,PROD_0183,1.0
USER_011,PROD_0185,4.0
USER_032,PROD_0174,4.0
USER_036,PROD_0110,4.0
USER_006,PROD_0181,3.0
USER_021,PROD_0130,4.0
USER_033,PROD_0101,5.0
USER_030,PROD_0206,1.0
USER_013,PROD_0233,3.0
USER_040,PROD_0228,4.0
USER_004,PROD_0153,3.0
